Date,Close/Last,Volume,Open,High,Low,capital,BUY_MIN,BUY_MAX,SELL_MIN,SELL_MAX,TRANSACTION_FEE,TRANSACTION_SESSION,TRANSACTION_PENALTY,TOTAL_ASSETS,WIN_THRESHOLD
02/19/2016,$97.19,1901266,$96.52,$97.61,$95.31,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/25/2024,$641.49,1043447,$649.47,$649.47,$637.07,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/02/2020,$305.30,1228650,$304.85,$307.78,$303.11,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/10/2016,$90.26,1897677,$91.28,$92.41,$89.95,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/13/2019,$257.19,1756323,$258.81,$259.395,$255.98,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/21/2016,$117.69,567001,$118.28,$118.37,$117.40,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/01/2016,$112.34,1339907,$111.28,$112.35,$110.8501,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/28/2021,$545.01,1647661,$560.44,$562.78,$544.48,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
04/28/2017,$125.21,1943288,$126.08,$126.08,$124.82,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/10/2020,$342.26,1544160,$358.15,$358.15,$339.35,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/23/2024,$641.97,1069463,$649.50,$649.50,$639.505,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
04/30/2020,$269.81,1410864,$272.76,$275.10,$268.22,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/07/2018,$221.88,1100654,$215.69,$221.89,$215.02,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/08/2023,$500.81,987116,$499.79,$501.45,$491.125,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/16/2021,$542.94,785257,$540.45,$542.96,$535.87,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/21/2018,$191.69,1281007,$192.21,$192.75,$190.89,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/03/2019,$238.07,1638609,$245.20,$248.5581,$236.75,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/28/2023,$419.33,1322404,$426.94,$427.73,$416.945,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/20/2021,$389.46,2051787,$391.667,$398.12,$388.98,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/07/2023,$513.91,1409378,$508.18,$517.33,$506.97,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/03/2016,$101.40,891720,$101.43,$101.90,$100.70,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/10/2024,$608.70,1292359,$603.12,$613.36,$603.02,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/31/2016,$106.66,2597759,$108.00,$108.68,$105.91,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/14/2022,$418.92,1631448,$426.53,$434.235,$416.15,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/30/2021,$373.66,998036,$371.08,$376.1189,$368.74,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/27/2020,$345.00,1880870,$341.84,$349.51,$339.06,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/27/2019,$262.15,1164185,$267.28,$267.59,$260.69,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/03/2024,$629.27,1109512,$623.78,$631.39,$622.15,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/04/2023,$391.57,1209717,$397.58,$399.72,$387.60,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/29/2017,$138.01,1019651,$136.76,$138.60,$136.75,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
04/05/2016,$103.90,956616,$104.43,$104.855,$103.78,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/15/2024,$687.87,1799379,$691.16,$692.85,$680.21,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/09/2018,$220.66,1721863,$218.80,$221.48,$217.34,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/28/2024,$659.16,1059682,$661.90,$665.73,$656.2647,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/19/2016,$108.19,1234614,$107.82,$108.57,$107.15,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/24/2024,$636.18,1017502,$641.75,$644.73,$634.80,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/25/2019,$257.67,1185771,$259.13,$260.28,$256.70,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/01/2016,$110.76,3405562,$111.42,$111.77,$110.00,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/25/2023,$496.47,1122659,$488.79,$499.84,$488.79,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/03/2023,$429.65,1274811,$440.20,$440.9617,$428.20,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/07/2022,$545.28,1411634,$544.40,$555.90,$542.50,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/04/2016,$109.37,520436,$109.45,$109.92,$108.88,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/17/2015,$106.77,1348582,$107.75,$108.20,$106.56,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/02/2018,$212.98,2145896,$212.95,$215.73,$211.68,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/16/2018,$211.44,1561500,$213.01,$214.35,$210.43,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
04/02/2015,$98.50,1081713,$97.69,$98.71,$97.35,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/03/2021,$411.34,771805,$414.79,$415.67,$409.00,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/09/2024,$658.16,1005195,$657.53,$662.83,$654.69,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/22/2020,$290.52,2611185,$286.13,$291.49,$285.88,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/08/2021,$374.46,1259108,$369.79,$375.03,$368.5952,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/03/2015,$96.38,2879563,$99.46,$99.91,$95.94,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/25/2025,$555.63,3014541,$567.31,$571.42,$553.24,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/16/2020,$223.43,2642653,$232.00,$244.99,$222.38,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/27/2018,$198.22,1276370,$202.43,$203.97,$198.03,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/29/2019,$208.33,995098,$211.21,$211.865,$207.69,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
04/17/2015,$95.58,1550777,$96.51,$96.71,$95.33,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/25/2021,$374.43,1588202,$378.04,$378.84,$364.31,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/05/2015,$91.31,1525513,$90.00,$91.50,$89.46,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/15/2019,$233.32,1141014,$233.34,$233.7289,$231.31,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/13/2019,$261.75,1340649,$259.78,$262.93,$259.00,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/06/2024,$634.64,802889,$632.27,$635.00,$627.5801,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/22/2022,$446.12,1692793,$456.73,$457.45,$445.01,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/01/2020,$289.95,1283840,$289.11,$291.72,$288.075,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/04/2024,$586.82,956779,$590.61,$594.51,$585.81,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/05/2018,$170.18,1301835,$167.59,$171.41,$167.00,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/11/2022,$478.77,1259571,$486.36,$489.27,$475.52,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
